,Level,Question,isMCQ,A,B,C,D,Subject,Year,School,Exam,Number,Image,Image File
11,P6,"10, Study the food web below.if the whoie population of organism F is killed by a disease, which of the
following population will likely decrease in number first?",,,,,,SCIENCE,2017,red_swastika_exam_papers,SA2,11,Yes,;TempImages/34.jpg
12,P6,"17. Jamal wanted to find out the suitable living conditions for organisms X, Y and Z. in
‘his container, there are four equal areas, P, Q, R and S, with different conditions
as shown below.The same number of organisms, X, Y and 2, were placed in the dish in the centre
of the container at the beginning of the experiment. At the end of the experiment,
the total number of organisms in each area was counted and recorded in a bar
chart below.Which of the following statements are tne?A: Only organism Y can be found in the leaf litter habitat.

B: Organism Z prefers an environment that is bright and wet.-

C: Both organisms X and Y survive best in an environment that is damp and
dark.",,"(1) Aand B only
","(2) Aand C only
","(3) Band C only
(45 A, BandcC",,SCIENCE,2017,red_swastika_exam_papers,SA2,12,Yes,;TempImages/36.jpg;TempImages/35.jpg
13,P6,"12. . Study the-two graphs below. They show the amount of carbon dioxide present in
the air in two towns, X and Y, over a period of time.Amount of
carbon dioxideA: The air in town Y Is less polluted than town X after year 10.
RB: There could be a decrease in the number of factories in town Y in the firstC: There could be deforestation in town Y in the first 10 years.",,"(4) Aand dB only
","(2) Cand Donly
","(3) A, Band C only
","(4) B, C and D only",SCIENCE,2017,red_swastika_exam_papers,SA2,13,Yes,;TempImages/38.jpg;TempImages/37.jpg
14,P6,". 13. May wanted to find out how the different time of the day affects the amount
of carbon dioxide produced by a plant. She placed a potted plant in a
sealed transparent container and placed it in an open field from morning till
night. Which of the following graphs most likely shows the result of her
experiment?",,,,,,SCIENCE,2017,red_swastika_exam_papers,SA2,14,Yes,;TempImages/42.jpg;TempImages/41.jpg;TempImages/40.jpg;TempImages/39.jpg
15,P6,"14, Alice removed an outer ring of a stem from a potted piant as shown below.
As a result, the tubes carrying food and water were removed. She covered
leaf X partially with black paper on both sides. She watered the plant
regularly and placed it under the sun.VWhich part(s) of the leaf would the iodine solution remains yellowish
hrown?(i) Aonly

",,"(2) Bonly

","(3) AandC only
","(4) A, Bandc",,SCIENCE,2017,red_swastika_exam_papers,SA2,15,Yes,;TempImages/44.jpg;TempImages/43.jpg;TempImages/47.jpg;TempImages/46.jpg;TempImages/45.jpg
16,P6,"16. Mr Tan ined to pull two different boxes over the same distance as Shown
below.Which of the following correctly explains why Mr Tan had to. use more force to
pull box A?",,"(1) Box A has more volume ihdn box B.

","(2) Bricks are heavier than cotton wool.

","(3) The base of box A is rougher than box B.

",(4) The cotton wool hes air spaces while the bricks do not.,SCIENCE,2017,red_swastika_exam_papers,SA2,16,Yes,;TempImages/50.jpg
17,P6,"18. Three containers were filled with the same amount of water and placed ona
table in the same room",,"(3) | solid figuid gas
",(4) liquid rr es ee ee,,,SCIENCE,2017,red_swastika_exam_papers,SA2,17,Yes,TempImages/49.jpg;TempImages/48.jpg
18,P6,"At the end of ten minutes, water droplets could be seen on ihe containers as
chown above.What is the possible temperature of the room?""49. Three studenis made the following siatements.",,,,,,SCIENCE,2017,red_swastika_exam_papers,SA2,18,Yes,TempImages/51.jpg
19,P6,"Danny <: Only metals are conducior of electricity.

Fiaine : We should handle electrical appliances only with dry hands.

Frank =: Aclosed electrical circuit musi comprise a bulb, wires and a
switch.V¥hich of the students is/are correct?",,"(1) Elaine only
","(2) Frank only
","(3) Danny and Elaine only
",(4) Danny and Frank only,SCIENCE,2017,red_swastika_exam_papers,SA2,19,Yes,;TempImages/55.jpg;TempImages/54.jpg;TempImages/53.jpg;TempImages/52.jpg
20,P6,,,"{2) | open. open | closed Only bulb B1 Jit up.and the bell rang.

_ ","(3) | closed [ closed open | Only bulbs B1 and B2 lit up. :
a | closed = open open | one bulb B1 Hit up. :",,,SCIENCE,2017,red_swastika_exam_papers,SA2,20,Yes,TempImages/57.jpg;TempImages/56.jpg
21,P6,"22. The diagram below shows a conveyor belt which separates two different types
of beads. A and B.Bie Toocs
ms beads23, Rashid hung four bails, A, B, C and D, which are made of different materials. Al
four balls were released from the holder at the same time and the depressions
made in a basin of soft dough were measured",,"(4) | _ magnet copper
aluminium steel
__","(3) | plastic
i ",(4) | plastic,,SCIENCE,2017,red_swastika_exam_papers,SA2,21,Yes,;TempImages/61.jpg;TempImages/60.jpg;TempImages/59.jpg;TempImages/58.jpg
22,P6,"basin of soft doughWhich of the following shows the correct arrangement of the balls from the
lightest to the heaviest?",,"(1) O,C,A, B
","(2) BLA C,D
","(3) C,A,B.D
",(4) ABDC,SCIENCE,2017,red_swastika_exam_papers,SA2,22,Yes,TempImages/63.jpg;TempImages/62.jpg
23,P6,"24. Ali conducted an experiment to find out how the size of the sail affects the
distance moved by the sailboat. The table below shows the size of the sails
used. The same amount of wind was present for ail the experiments.",,(2) Distance,(4) Distance,(3) Distance,,SCIENCE,2017,red_swastika_exam_papers,SA2,23,Yes,;TempImages/67.jpg;TempImages/66.jpg;TempImages/65.jpg;TempImages/64.jpg
24,P6,"After changing the set-up, Caleb noticed thai ine buzzer did not sound when
the switch was closed. What change(s) did he make?A: Add one more battery without changing the rest of the set-up.

B: Coil more turns of wire around the iren rod without changing the rest of
the set-up.

C: Change the steel thumbtack to a copper thumbtack.",,,,,,SCIENCE,2017,red_swastika_exam_papers,SA2,24,Yes,TempImages/68.jpg
25,P6,"(1} CGonly

(2) AandB only
(3) Band only
(4) A, Bandc",,"(1} CGonly

","(2) AandB only
","(3) Band only
","(4) A, Bandc",SCIENCE,2017,red_swastika_exam_papers,SA2,25,No,
26,P6,"26. Ravi plays basketball during his free time and he observed the height the ball
bounces back each time after it hits the ground.",,,,,,SCIENCE,2017,red_swastika_exam_papers,SA2,26,Yes,;TempImages/70.jpg;TempImages/69.jpg
27,P6,"A: There is more gravitational force acting on the ball at position X than at
position Y.",,,,,,SCIENCE,2017,red_swastika_exam_papers,SA2,27,No,
28,P6,"B: fhe amount of gravitational potential energy on ine ball is the same at
both positions X and Y.C: From position X to YY, the gravitationai “potential energy of the ball
decreases but the kinetic energy increases.D: From position X to Y, the gravitational potential energy of the ball
increases but kinetic energy decreases.Which of the above statements ts/are true?",,"(1) Aonly

","(2) Conly

","(3) Band Donly
","(4). A, BandC only",SCIENCE,2017,red_swastika_exam_papers,SA2,28,No,
29,P6,"Which of the following shows the correct main energy conversion from paris W
to part 7? .energy of the energy of the energy of the energy of the
river water at flowing water spinning turbine generator at
part W at part X _at part Y part Z",,,,,,SCIENCE,2017,red_swastika_exam_papers,SA2,29,Yes,TempImages/73.jpg;TempImages/72.jpg;TempImages/71.jpg
30,P6,"23. Cheryl placed five similar ice cubes into three different bags as shown below.
The bags were made of the same material but with different thickness.7 2 ©.
fa ar | Eo.
aye De {xB
org Bras, ai ee
ee =e g eeAll the bags were placed at the same location. A few of her classmates made
the following statements:Queny <: For all the ice in bag B and bag C to complete melting at the same
time, bag C will need more heat than bag B.Rose : Since they are placed at the same focation, the ice in all three bags
will melt completely at the same time.Which of the student(s) is/are correct?",,"(1) Paul only

","(2} Rose only

","(3) Paul and Queny only
",(4) Queny and Rose only,SCIENCE,2017,red_swastika_exam_papers,SA2,30,Yes,;TempImages/75.jpg;TempImages/74.jpg;TempImages/79.jpg;TempImages/78.jpg;TempImages/77.jpg;TempImages/76.jpg;TempImages/82.jpg;TempImages/81.jpg;TempImages/80.jpg
31,P6,"The items in vase X are shown mn the table beiow. She also.created a control
set-up using vase Y.(b} State one other important vanabie Mrs Jan must keep the same during the
experiment to ensure a fair test. (1m)",,,,,,SCIENCE,2017,red_swastika_exam_papers,SA2,31,Yes,;TempImages/84.jpg;TempImages/83.jpg
32,P6,"31. Muthu leamed in school that there are more stomata found on the lower
surface of leaves. He then set up an experiment using four similar potted
plants, A, B, C and D, as shown below. He applied oil on different parts of
their leaves. All four plants were placed side-by-side under light and watered
with equal amounts of water daily.‘of all leaves of all reaves all leaves.
eB ep iD Isp
, \ ho
Ld Ld Ld Co
A B Cc D(a) Arrange the order in which the ptants above woutd die, starting with the piant
that takes the shortest time to the one that takes the longest time. (1m)",,"(6) Muthu took another plant and tied a clear plastic bag around it as shown .
below. He did not apply any oil to the leaves. The plant was provided with
sufficient light and water.",,,,SCIENCE,2017,red_swastika_exam_papers,SA2,32,Yes,;TempImages/88.jpg;TempImages/87.jpg;TempImages/86.jpg;TempImages/85.jpg
33,P6,"32. Study the food wep shown.(a) Based on the food web, fill in the table below with tne appropniate ietters, 5,
C, D. E, F and G. Do not use letter A. (2m)(BD) Using the folowing information, draw two arrows to add organism fH in ihe
food web above. (im)(i) Organism H is a plant ano. animai eater.

(ii) | When the population of organism H increases, the population of
organism B decreases.

(i) When the population of organism H. decreases, the population of
organism A increases. —",,,,,,SCIENCE,2017,red_swastika_exam_papers,SA2,33,Yes,;TempImages/91.jpg;TempImages/90.jpg;TempImages/89.jpg
34,P6,"33. The tabie below shows how some. animals adapt to survive in their
habitais.(a) Based on the information above, classny the animals given using the flow
chart below. Write letters, A, B, C and D in the correct boxes, using each
letter once. (2m)33. Man causes most pollution. Deforestation can cause not only air pollution but
aisé water pollution. When trees in the forest are cut down, the soil is blown
into the air or washed into the river easily.",,,,,,SCIENCE,2017,red_swastika_exam_papers,SA2,34,Yes,;TempImages/94.jpg;TempImages/93.jpg;TempImages/92.jpg
35,P6,"Se f ty
Soins a] Vay
_ Ry ene my pi
“Igy,
<I e,
G Auge
(ah(b> {i} Explain how trees in a forest nelp to prevent soil from being washed
away. (tm)"" {i} When a lot of loose soil.is washed into a river, the water becomes dark
and murky. The underwater plants do not grow well. Explain why. (2m)34. Natasha wanted to find out if the rate of photosynthesis of elodea would be
affected by the intensity of light. She put the same type of plant into three giass
containers and placed each of them at different distances from three similar
table lamps in a dark room for an hour.",,,,,,SCIENCE,2017,red_swastika_exam_papers,SA2,35,Yes,;TempImages/95.jpg
36,P6,"She recorded the number of bubbles produced at 5 minutes interval for one
hour and plotted the graph below to show the results in container B.(a) Using the same graph above, iabel the graph to show the results of the
experiment in containers A and C respectively. {1m)",,"(5) Natasha added a few guppies into container B. She placed the container at 35
cm away from the table lamp as she had done previously and repeated the
experiment again.",,,,SCIENCE,2017,red_swastika_exam_papers,SA2,36,Yes,TempImages/98.jpg;TempImages/97.jpg;TempImages/96.jpg
37,P6,"35. Mr Tan drew his farnily tree as shown Delow.(a} Based on the information above, what are the common characteristics Alice
and Alison have inherited from their father? (1m)(Db) Alison Is married and she has a young son. Draw. lines and symbols to
represent her husband and son in the family tree. (1m) / :",,,,,,SCIENCE,2017,red_swastika_exam_papers,SA2,37,Yes,;TempImages/101.jpg;TempImages/100.jpg;TempImages/99.jpg
38,P6,"36. Study the set-up shown Delow.After the bunsen durner was i up, some liquid was seen to be collected in
both containers X and Y.{a} Plates A and 6 are made of diferent materiais. Explain the difference in the
amount of liquid collected for container X. (4m).(b) Liquid Q is blue in colour as blue dye powder was added to it. However, the
liquid collected in container X was colourless. Explain why. (1m)37. Andy has a solid that is made up of substances A and B as shown
below.",,,,,,SCIENCE,2017,red_swastika_exam_papers,SA2,38,Yes,;TempImages/103.jpg;TempImages/102.jpg
39,P6,"Substance A has a much lower melting point than substance B. Andy
would like to make object X using only substance A as shown below.Explain how he could create object X using the empty. container and the
set-up shown above. (2m)38. Raja created the following set-up. He wanted to find out how the different
table surfaces affects the distance moved by the box on the table.",,,,,,SCIENCE,2017,red_swastika_exam_papers,SA2,39,Yes,TempImages/107.jpg;TempImages/106.jpg;TempImages/105.jpg;TempImages/104.jpg
40,P6,"He repeated the experiment with two other surfaces and the same amount
of iron weights. He recorded the distance moved by the box on the table as
follows.(a) Tick(v) the correct columns in the table below in order for the experiment to
be a fair test. (im)(b) Which surface, P, Q or R, is best used to make the soles of shoes? Explain
your answer. (im)39. Study the set-up shown below.",,,,,,SCIENCE,2017,red_swastika_exam_papers,SA2,40,Yes,TempImages/111.jpg;TempImages/110.jpg;TempImages/109.jpg;TempImages/108.jpg
41,P6,,,,,,,SCIENCE,2017,red_swastika_exam_papers,SA2,41,Yes,TempImages/114.jpg;TempImages/113.jpg;TempImages/112.jpg
42,P6,"39. After the steel plate was replaced with object X, ine Dulbs lit up but object X did
not move at all.(c) Based on the above resulis, state two properties of the material for object X.
(2m)When the bumer was switched on, it heated up the air inside the balloon. The
hot air fills the balloon, causing it to rise.(a) If the hot air balloon is already in the air, what could Alan do if he would dike
the balloon to go higher up in the air? (1m) .Study the electrical system shown below. When the switch is closed, the
nichrome wire, which is connected to the wires in the.circuit, becomes hot
and soon, the piece of paper moved. .(d} Another similar experiment was created but only one battery was used. Vil
the speed of the moving paper be different? Explain. (1m) *41. Saily is going for a picnic. She packed the same type and amount of food.in
two different containers which are of the same size. The containers are made
of different materials and the covers remained closed once the food was put",,,,,,SCIENCE,2017,red_swastika_exam_papers,SA2,42,Yes,;TempImages/115.jpg;TempImages/119.jpg;TempImages/118.jpg;TempImages/117.jpg;TempImages/116.jpg;TempImages/120.jpg
43,P6,"After one hour, Sally checked on the food and observed the results as
shown in the table below.",,"(2) Based on the above information, state a possible reason why the food in
container A is still warm but not container B. (4m)",,,,SCIENCE,2017,red_swastika_exam_papers,SA2,43,Yes,TempImages/123.jpg;TempImages/122.jpg;TempImages/121.jpg;TempImages/129.jpg;TempImages/128.jpg;TempImages/127.jpg;TempImages/126.jpg;TempImages/125.jpg;TempImages/124.jpg;TempImages/134.jpg;TempImages/133.jpg;TempImages/132.jpg;TempImages/131.jpg;TempImages/130.jpg;TempImages/139.jpg;TempImages/138.jpg;TempImages/137.jpg;TempImages/136.jpg;TempImages/135.jpg;TempImages/141.jpg;TempImages/140.jpg
